Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume
1.55167E+12,04/03/2019 4:00,ZECUSD,49.65,49.84,47.74,48.11,6395.680049
1.55159E+12,03/03/2019 4:00,ZECUSD,51.12,51.25,49.65,49.65,1692.542747
1.5515E+12,02/03/2019 4:00,ZECUSD,51.74,51.9,50,51.12,913.6443279
1.55141E+12,01/03/2019 4:00,ZECUSD,51.09,51.74,51.09,51.74,0.01923
1.55133E+12,28/02/2019 4:00,ZECUSD,50.9,51.98,50.24,51.09,1137.726132
1.55124E+12,27/02/2019 4:00,ZECUSD,52.09,52.53,49.52,50.9,4506.961437
1.55115E+12,26/02/2019 4:00,ZECUSD,51.84,53.95,51.04,52.09,2044.863791
1.55107E+12,25/02/2019 4:00,ZECUSD,51.66,52.72,50.75,51.84,1075.713211
1.55098E+12,24/02/2019 4:00,ZECUSD,57.64,58.44,49.29,51.66,3831.073925
1.55089E+12,23/02/2019 4:00,ZECUSD,53.43,57.96,52.27,57.64,1579.494229
1.55081E+12,22/02/2019 4:00,ZECUSD,53.53,54.95,52.2,53.43,1287.585377
1.55072E+12,21/02/2019 4:00,ZECUSD,53.81,54.88,52.21,53.53,2210.556864
1.55064E+12,20/02/2019 4:00,ZECUSD,53.38,55,51.98,53.81,3388.623689
1.55055E+12,19/02/2019 4:00,ZECUSD,54.02,56.15,52.95,53.38,3072.964622
1.55046E+12,18/02/2019 4:00,ZECUSD,52.26,54.9,51.51,54.02,2754.786664
1.55038E+12,17/02/2019 4:00,ZECUSD,50.21,52.43,50,52.26,1926.142096
1.55029E+12,16/02/2019 4:00,ZECUSD,50.01,51.46,49.97,50.21,1797.120121
1.5502E+12,15/02/2019 4:00,ZECUSD,50.85,50.85,50,50.01,18.188646
1.55012E+12,14/02/2019 4:00,ZECUSD,52.62,52.62,50.81,50.85,1057.83136
1.55003E+12,13/02/2019 4:00,ZECUSD,53.62,55,51.94,52.62,4649.338417
1.54994E+12,12/02/2019 4:00,ZECUSD,50.5,53.86,50.5,53.62,4847.556361
1.54986E+12,11/02/2019 4:00,ZECUSD,48.59,51.12,48.5,50.5,2081.834216
1.54977E+12,10/02/2019 4:00,ZECUSD,49.48,50.14,48.38,48.59,2032.918413
1.54968E+12,09/02/2019 4:00,ZECUSD,49.4,50.53,48.79,49.48,1171.408622
1.5496E+12,08/02/2019 4:00,ZECUSD,46.1,52.3,45.89,49.4,16526.51627
1.54951E+12,07/02/2019 4:00,ZECUSD,46.15,46.95,45.44,46.1,1848.112602
1.54943E+12,06/02/2019 4:00,ZECUSD,45.8,46.29,45.16,46.15,2756.809464
1.54934E+12,05/02/2019 4:00,ZECUSD,47.7,47.82,45,45.8,8599.947084
1.54925E+12,04/02/2019 4:00,ZECUSD,47.35,47.85,47.35,47.7,1529.5711
1.54917E+12,03/02/2019 4:00,ZECUSD,48.87,48.87,47.35,47.35,898.1073223
1.54908E+12,02/02/2019 4:00,ZECUSD,48.32,49.12,47.73,48.87,2127.114184
1.54899E+12,01/02/2019 4:00,ZECUSD,47.85,48.32,47.85,48.32,0.273666
1.54891E+12,31/01/2019 4:00,ZECUSD,49.32,49.49,47.64,47.85,1427.711742
1.54882E+12,30/01/2019 4:00,ZECUSD,48.45,49.93,48.45,49.32,902.4275197
1.54873E+12,29/01/2019 4:00,ZECUSD,47.97,48.81,47.1,48.45,1208.779686
1.54865E+12,28/01/2019 4:00,ZECUSD,49.57,50.31,47.49,47.97,5738.577595
1.54856E+12,27/01/2019 4:00,ZECUSD,51.55,51.68,49.57,49.57,1553.764227
1.54848E+12,26/01/2019 4:00,ZECUSD,52.12,53,51.27,51.55,302.0289017
1.54839E+12,25/01/2019 4:00,ZECUSD,53.25,53.25,51.69,52.12,881.9220096
1.5483E+12,24/01/2019 4:00,ZECUSD,51.6,53.33,51.6,53.25,2595.669837
1.54822E+12,23/01/2019 4:00,ZECUSD,52.47,52.71,51.34,51.6,3119.081917
1.54813E+12,22/01/2019 4:00,ZECUSD,51.59,53.61,49.97,52.47,3903.701087
1.54804E+12,21/01/2019 4:00,ZECUSD,52.35,52.37,51.09,51.59,1782.986962
1.54796E+12,20/01/2019 4:00,ZECUSD,53.92,53.92,51.03,52.35,983.7727139
1.54787E+12,19/01/2019 4:00,ZECUSD,53.2,54.43,52.61,53.92,906.6458253
1.54778E+12,18/01/2019 4:00,ZECUSD,53.53,53.53,52.49,53.2,43.73017011
1.5477E+12,17/01/2019 4:00,ZECUSD,52.48,54.1,52.36,53.53,5696.014365
1.54761E+12,16/01/2019 4:00,ZECUSD,53.3,54.48,52.22,52.48,4142.109814
1.54752E+12,15/01/2019 4:00,ZECUSD,54.9,55.08,52.57,53.3,4027.985219
1.54744E+12,14/01/2019 4:00,ZECUSD,52.93,56.88,52.78,54.9,3268.911156
1.54735E+12,13/01/2019 4:00,ZECUSD,56.06,56.28,52.02,52.93,1126.664204
1.54727E+12,12/01/2019 4:00,ZECUSD,54.96,56.55,54.4,56.06,327.3778232
1.54718E+12,11/01/2019 4:00,ZECUSD,57.9,58.71,54.44,54.96,10729.66704
1.54709E+12,10/01/2019 4:00,ZECUSD,60.22,60.32,52.02,57.9,13700.57796
